Unnamed: 0,J,S,D,size,size_i,gamma,e,t,c,r,P,lab,mu,load,target_prob,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g,opt_gap
50,2,5,60,133956,401868,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.41666666666666663, 0.8333333333333333]","[0.3333333333333333, 0.6666666666666666]",0.5,0.1297378098660921,3367324_41,1,(MM:SS): 22:42,955.0,1.210145155588786,3389938_51,1,(MM:SS): 07:20,643.0,1.2028435866038003,0.0060336307188151
51,2,5,125,571536,1714608,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.49999999999999994, 0.49999999999999994]","[0.3333333333333333, 0.3333333333333333]",0.6,0.2380711825487944,3367327_42,1,(HH:MM:SS): 05:36:52,1650.0,0.8990295728047689,3389939_52,1,(HH:MM:SS): 01:21:27,880.0,0.8949375152587891,0.0045516384218747
52,2,5,100,367236,1101708,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.49999999999999994, 0.75]","[0.3333333333333333, 0.5]",0.6,0.2386547882633936,3367328_43,1,(HH:MM:SS): 02:37:39,1488.0,1.1443622410297394,3389940_53,1,(HH:MM:SS): 01:02:02,1228.0,1.1347481608390808,0.0084012560411006
53,2,5,84,260100,780300,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.49999999999999994, 0.9999999999999999]","[0.3333333333333333, 0.6666666666666666]",0.6,0.2392724905399356,3367329_44,1,(HH:MM:SS): 01:29:13,1405.0,1.3924956321716309,3389941_54,1,(MM:SS): 46:10,1129.0,1.3709068298339844,0.0155036768797459
54,2,5,180,1179396,3538188,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.5833333333333333, 0.5833333333333333]","[0.3333333333333333, 0.3333333333333333]",0.7,0.3837319829586251,3910160_31,12,15:00:00,,,3907733_29,10,15:00:00,,,
55,2,5,144,756900,2270700,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.5833333333333333, 0.875]","[0.3333333333333333, 0.5]",0.7,0.3852532157670306,3367333_46,1,(HH:MM:SS): 14:43:11,2841.0,1.2281227111816406,3907734_30,10,15:00:00,,,
56,2,5,121,535824,1607472,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.5833333333333333, 1.1666666666666665]","[0.3333333333333333, 0.6666666666666666]",0.7,0.3867870847626597,3367334_47,1,(HH:MM:SS): 09:53:46,2634.0,1.5104929606119792,3907735_31,10,15:00:00,,,
57,2,5,286,2965284,8895852,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.6666666666666666, 0.6666666666666666]","[0.3333333333333333, 0.3333333333333333]",0.8,0.5635426790134779,3910161_32,12,15:00:00,,,3910256_32,11,15:00:00,,,
58,2,5,230,1920996,5762988,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.6666666666666666, 1.0]","[0.3333333333333333, 0.5]",0.8,0.5658271353896143,3910162_33,12,15:00:00,,,3910257_33,9,15:00:00,,,
59,2,5,192,1340964,4022892,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.6666666666666666, 1.3333333333333333]","[0.3333333333333333, 0.6666666666666666]",0.8,0.568080777056859,3910163_34,12,15:00:00,,,3910258_34,9,15:00:00,,,
60,2,5,89,291600,874800,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.625, 0.20833333333333331]","[0.3333333333333333, 0.3333333333333333]",0.5,0.1297933660848856,3367385_51,1,(HH:MM:SS): 01:26:01,1144.0,0.7915015829106172,3390505_61,1,(MM:SS): 31:30,899.0,0.7902873431642851,0.0015340964219768
61,2,5,79,230400,691200,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.625, 0.3125]","[0.3333333333333333, 0.5]",0.5,0.1297666104853576,3367386_52,1,(MM:SS): 55:45,1052.0,0.894976332783699,3390506_62,1,(MM:SS): 17:45,711.0,0.8936987817287445,0.0014274690940495
62,2,5,71,186624,559872,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.625, 0.41666666666666663]","[0.3333333333333333, 0.6666666666666666]",0.5,0.1297486563912791,3367387_53,1,(MM:SS): 39:39,1021.0,0.9992343684037528,3390507_63,1,(MM:SS): 14:09,736.0,0.9952763716379802,0.003961029455077
63,2,5,125,571536,1714608,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.7499999999999999, 0.24999999999999997]","[0.3333333333333333, 0.3333333333333333]",0.6,0.2380711825487944,3367389_54,1,(HH:MM:SS): 07:16:14,1758.0,0.8966437975565593,3390508_64,1,(HH:MM:SS): 01:59:04,1215.0,0.8920383453369141,0.0051363230663007
64,2,5,111,451584,1354752,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.7499999999999999, 0.375]","[0.3333333333333333, 0.5]",0.6,0.2383585189429205,3367392_55,1,(HH:MM:SS): 04:50:55,1631.0,1.0174846649169922,3390509_65,1,(HH:MM:SS): 01:25:49,1201.0,1.012277603149414,0.0051175825514804
65,2,5,100,367236,1101708,15,1e-05,"[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]",1000.0,"[0.7499999999999999, 0.49999999999999994]","[0.3333333333333333, 0.6666666666666666]",0.6,0.2386547882633936,3367393_56,1,(HH:MM:SS): 03:26:25,1563.0,1.1405020952224731,3391116_66,1,(HH:MM:SS): 01:05:50,1214.0,1.1284271876017251,0.0105873611905926
